ISP,Download,Upload,Timestamp
Infel-ktv Doo,13.65 Mbit/s,1.18 Mbit/s,2020-06-17T17:00:02.370645Z
Infel-ktv Doo,12.41 Mbit/s,1.33 Mbit/s,2020-06-18T17:00:03.252024Z
Infel-ktv Doo,12.70 Mbit/s,1.20 Mbit/s,2020-06-18T18:00:02.881656Z
Infel-ktv Doo,13.34 Mbit/s,1.18 Mbit/s,2020-06-18T19:00:03.393871Z
Infel-ktv Doo,11.74 Mbit/s,1.22 Mbit/s,2020-06-18T20:00:02.243579Z
Infel-ktv Doo,11.89 Mbit/s,1.23 Mbit/s,2020-06-21T21:00:04.215730Z
Infel-ktv Doo,12.74 Mbit/s,1.19 Mbit/s,2020-06-21T22:00:03.086442Z
Infel-ktv Doo,14.15 Mbit/s,1.41 Mbit/s,2020-06-21T23:00:03.660448Z
Infel-ktv Doo,10.99 Mbit/s,1.35 Mbit/s,2020-06-22T00:00:03.722931Z
Infel-ktv Doo,13.59 Mbit/s,1.08 Mbit/s,2020-06-22T01:00:03.658349Z
Infel-ktv Doo,12.73 Mbit/s,1.28 Mbit/s,2020-06-22T02:00:02.888344Z
Infel-ktv Doo,14.13 Mbit/s,1.24 Mbit/s,2020-06-22T13:00:04.832888Z
Infel-ktv Doo,14.29 Mbit/s,1.32 Mbit/s,2020-06-22T14:00:02.496951Z
Infel-ktv Doo,13.88 Mbit/s,1.29 Mbit/s,2020-06-22T15:00:03.183629Z
Infel-ktv Doo,12.04 Mbit/s,0.34 Mbit/s,2020-06-22T16:00:02.951117Z
Infel-ktv Doo,14.11 Mbit/s,1.24 Mbit/s,2020-06-22T17:00:03.365871Z
Infel-ktv Doo,13.47 Mbit/s,1.20 Mbit/s,2020-06-22T18:00:03.210483Z
Infel-ktv Doo,13.46 Mbit/s,1.14 Mbit/s,2020-06-22T19:00:03.274413Z
Infel-ktv Doo,12.25 Mbit/s,1.18 Mbit/s,2020-06-22T20:00:02.980989Z
Infel-ktv Doo,12.71 Mbit/s,1.20 Mbit/s,2020-06-22T21:00:04.587383Z
Infel-ktv Doo,14.17 Mbit/s,1.24 Mbit/s,2020-06-22T22:00:03.071613Z
Infel-ktv Doo,13.14 Mbit/s,1.24 Mbit/s,2020-06-22T23:00:03.030630Z
Infel-ktv Doo,12.21 Mbit/s,1.35 Mbit/s,2020-06-23T00:00:04.260042Z
Infel-ktv Doo,13.52 Mbit/s,1.17 Mbit/s,2020-06-23T01:00:03.010416Z
Infel-ktv Doo,13.85 Mbit/s,1.18 Mbit/s,2020-06-23T02:00:02.348524Z
Infel-ktv Doo,10.62 Mbit/s,1.40 Mbit/s,2020-06-24T11:00:04.351248Z
Infel-ktv Doo,14.20 Mbit/s,1.05 Mbit/s,2020-06-24T12:00:02.878751Z
Infel-ktv Doo,14.25 Mbit/s,1.12 Mbit/s,2020-06-24T13:00:02.881291Z
Infel-ktv Doo,14.16 Mbit/s,1.30 Mbit/s,2020-06-24T14:00:02.170473Z
Infel-ktv Doo,14.01 Mbit/s,1.23 Mbit/s,2020-06-24T15:00:02.948325Z
Infel-ktv Doo,13.29 Mbit/s,1.21 Mbit/s,2020-06-24T16:00:02.017613Z
Infel-ktv Doo,13.94 Mbit/s,1.12 Mbit/s,2020-06-24T17:00:03.135232Z
Infel-ktv Doo,12.86 Mbit/s,1.13 Mbit/s,2020-06-24T18:00:02.228237Z
Infel-ktv Doo,13.55 Mbit/s,1.22 Mbit/s,2020-06-24T19:00:02.942264Z
Infel-ktv Doo,14.29 Mbit/s,1.33 Mbit/s,2020-06-24T20:00:02.733093Z
Infel-ktv Doo,14.15 Mbit/s,1.35 Mbit/s,2020-06-24T21:00:03.469900Z
Infel-ktv Doo,13.76 Mbit/s,1.17 Mbit/s,2020-06-24T22:00:02.527427Z
Infel-ktv Doo,13.72 Mbit/s,1.17 Mbit/s,2020-06-24T23:00:03.415126Z
Infel-ktv Doo,13.70 Mbit/s,1.19 Mbit/s,2020-06-25T00:00:02.252369Z
Infel-ktv Doo,14.38 Mbit/s,1.30 Mbit/s,2020-06-25T01:00:03.193419Z
Infel-ktv Doo,14.33 Mbit/s,1.29 Mbit/s,2020-06-25T02:00:02.671374Z
Infel-ktv Doo,14.38 Mbit/s,1.30 Mbit/s,2020-06-25T03:00:02.119409Z
Infel-ktv Doo,13.87 Mbit/s,1.23 Mbit/s,2020-06-25T04:00:02.634752Z
Infel-ktv Doo,14.30 Mbit/s,1.32 Mbit/s,2020-06-25T05:00:03.476373Z
Infel-ktv Doo,14.22 Mbit/s,1.30 Mbit/s,2020-06-25T06:00:02.813124Z
Infel-ktv Doo,14.19 Mbit/s,1.22 Mbit/s,2020-06-25T07:00:02.165612Z
Infel-ktv Doo,14.25 Mbit/s,1.32 Mbit/s,2020-06-25T08:00:01.970327Z
Infel-ktv Doo,14.17 Mbit/s,1.29 Mbit/s,2020-06-25T09:00:03.206572Z
Infel-ktv Doo,0.00 Mbit/s,0.49 Mbit/s,2020-06-25T10:00:14.569865Z
Infel-ktv Doo,10.38 Mbit/s,1.36 Mbit/s,2020-06-25T11:00:03.152856Z
Infel-ktv Doo,13.01 Mbit/s,1.26 Mbit/s,2020-06-25T12:00:02.647342Z
Infel-ktv Doo,13.99 Mbit/s,1.28 Mbit/s,2020-06-25T13:00:03.345141Z
Infel-ktv Doo,14.09 Mbit/s,1.34 Mbit/s,2020-06-25T14:00:03.377306Z
Infel-ktv Doo,10.57 Mbit/s,1.33 Mbit/s,2020-06-25T15:00:02.575688Z
Infel-ktv Doo,14.15 Mbit/s,1.15 Mbit/s,2020-06-25T16:00:02.805752Z
Infel-ktv Doo,14.11 Mbit/s,1.29 Mbit/s,2020-06-25T17:00:03.449799Z
Infel-ktv Doo,11.56 Mbit/s,1.18 Mbit/s,2020-06-25T18:00:02.516929Z
Infel-ktv Doo,13.92 Mbit/s,1.13 Mbit/s,2020-06-25T19:00:03.639415Z
Infel-ktv Doo,13.27 Mbit/s,1.04 Mbit/s,2020-06-25T20:00:03.234084Z
Infel-ktv Doo,14.33 Mbit/s,1.24 Mbit/s,2020-06-26T10:00:03.201905Z
Infel-ktv Doo,3.55 Mbit/s,1.24 Mbit/s,2020-06-26T11:00:02.967971Z
Infel-ktv Doo,8.13 Mbit/s,1.32 Mbit/s,2020-06-26T12:00:04.398468Z
Infel-ktv Doo,10.27 Mbit/s,1.26 Mbit/s,2020-06-26T13:00:03.223725Z
Infel-ktv Doo,12.12 Mbit/s,1.29 Mbit/s,2020-06-26T14:00:03.073162Z
Infel-ktv Doo,5.32 Mbit/s,1.16 Mbit/s,2020-06-26T15:00:02.644136Z
Infel-ktv Doo,10.03 Mbit/s,1.19 Mbit/s,2020-06-26T16:00:02.750036Z
Infel-ktv Doo,8.75 Mbit/s,1.18 Mbit/s,2020-06-26T17:00:02.373052Z
Infel-ktv Doo,10.17 Mbit/s,1.25 Mbit/s,2020-06-26T18:00:03.198518Z
Infel-ktv Doo,7.90 Mbit/s,1.25 Mbit/s,2020-06-26T19:00:02.134190Z
Infel-ktv Doo,11.25 Mbit/s,1.25 Mbit/s,2020-06-26T20:00:02.985715Z
Infel-ktv Doo,6.63 Mbit/s,1.25 Mbit/s,2020-06-26T21:00:02.582628Z
Infel-ktv Doo,9.37 Mbit/s,1.29 Mbit/s,2020-06-26T22:00:02.557746Z
Infel-ktv Doo,6.82 Mbit/s,1.26 Mbit/s,2020-06-26T23:00:02.054510Z
Infel-ktv Doo,11.01 Mbit/s,1.34 Mbit/s,2020-06-27T00:00:02.458561Z
Infel-ktv Doo,9.85 Mbit/s,1.24 Mbit/s,2020-06-27T01:00:02.649828Z
Infel-ktv Doo,10.94 Mbit/s,1.25 Mbit/s,2020-06-27T02:00:03.235335Z
Infel-ktv Doo,8.04 Mbit/s,1.30 Mbit/s,2020-06-27T03:00:01.920916Z
Infel-ktv Doo,9.88 Mbit/s,1.32 Mbit/s,2020-06-27T04:00:03.176829Z
Infel-ktv Doo,10.59 Mbit/s,1.27 Mbit/s,2020-06-27T05:00:02.702557Z
Infel-ktv Doo,9.61 Mbit/s,1.30 Mbit/s,2020-06-27T06:00:02.618952Z
Infel-ktv Doo,9.38 Mbit/s,1.19 Mbit/s,2020-06-27T07:00:02.667488Z
Infel-ktv Doo,9.83 Mbit/s,1.21 Mbit/s,2020-06-27T08:00:02.340967Z
